"","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000108654",8.7755744353919,0.654819435846676,0.901467222515443,0.383699547895872,0.772714521229734
"ENSG00000258890",4.90342232481396,0.311397937560899,0.457394744886197,0.654920034235146,0.897253929868966
"ENSG00000108854",4.58998317675251,0.0508995515523765,0.0708342337915668,0.944605278122457,0.985468770372449
"ENSG00000215769",1.72916957975152,1.222330702876,1.0352230427327,0.319395354124528,0.734157146031411
"ENSG00000265298",1.72916957975152,1.222330702876,1.08207788437629,0.298836414176802,0.717230341723628
"ENSG00000214176",3.29586621492524,0.851596694825793,0.898327632863425,0.385309434875038,0.773207220168742
"ENSG00000176809",2.24676691172437,-2.07962124149029,-1.92261904878132,0.0766608334243717,0.439035153216443
"ENSG00000214174",3.93660026352303,0.411678199611349,0.480571606786163,0.638788837476584,0.891724307980421
"ENSG00000120063",4.84341645163514,-0.428416045772869,-0.567481390687401,0.580033149255748,0.866109024028287
"ENSG00000108370",2.03476768508563,1.08985380283431,0.937890827786281,0.365359868367416,0.764610652200408
"ENSG00000168646",2.67928671386961,0.373348750985079,0.283359244424377,0.781353273015734,0.939650478428123
"ENSG00000154240",4.47805248676555,1.40671889086839,1.53189349002029,0.149460247049197,0.57370341068746
"ENSG00000154229",4.61451096702375,-1.44272715390935,-1.69212678082222,0.11438086071597,0.523422225721469
"ENSG00000075461",3.58363270847299,-3.12742741074178,-2.54716459962282,0.02428691254358,0.260260109296351
"ENSG00000198265",5.23443625979234,0.797903966547113,1.16207772620161,0.266046736803875,0.695633774497465
"ENSG00000197170",5.7127892602636,-0.414088632365586,-0.677725964029014,0.509800652075389,0.840432759589619
"ENSG00000154217",3.84025076131329,1.02206931734591,0.960947006923457,0.354071873357832,0.757202627560659
"ENSG00000130935",5.40316241630083,-0.288352543719498,-0.429855680461203,0.674323677652281,0.903676130132791
"ENSG00000171634",5.20407961644271,0.878848916809456,1.30361362913447,0.214926997141561,0.65193310909428
"ENSG00000186665",2.78174947701049,2.08193201377338,1.90373950808732,0.0792632492243942,0.443528006148767
"ENSG00000182481",5.30195385891257,-1.48748574633097,-2.26133333722775,0.0414842969220058,0.337186830904709
"ENSG00000278730",4.14138379745979,1.14206417956641,1.375455007192,0.192175271064378,0.626804915134578
"ENSG00000274561",1.94116880639026,1.64377929907418,1.4293462090751,0.176438782519922,0.603842775544501
"ENSG00000196704",5.9914039202604,-0.33151070284121,-0.518580601095076,0.612746431205618,0.87991682551489
"ENSG00000141337",2.50338496456467,2.01853982499533,1.87806980668573,0.0829303578687389,0.454399617237841
"ENSG00000070540",3.43407243453121,2.45522649057149,2.32959439277931,0.0365480183662763,0.319447328193004
"ENSG00000108946",7.3747464868393,0.812442758811661,1.25706665845809,0.230794795317555,0.663614657557514
"ENSG00000108950",4.48551215504901,-0.72284662050759,-0.878260276771151,0.395708229917264,0.778464876542193
"ENSG00000141338",3.79610034265837,5.35819344804326,5.88060294064584,5.35428245867542e-05,0.0162626440919958
"ENSG00000154263",2.70050893826624,2.45806054093959,2.15764329283944,0.0502023441056049,0.362270912398104
"ENSG00000154265",4.24251530539795,0.204355192216072,0.247459200936149,0.808409198527968,0.945968906776176
"ENSG00000108984",2.73365005675083,0.0302586380250816,0.0275554558016274,0.978434254579376,0.993130230636629
"ENSG00000125398",2.49389300201491,-0.290963727720097,-0.27329905187656,0.788907003605063,0.940041494383387
"ENSG00000133195",4.27258886382737,-0.363436924675216,-0.463630385085413,0.650561796912838,0.895444631179599
"ENSG00000166685",4.32637123074692,1.47700755051575,1.81505645294447,0.0925911232375537,0.476564109804815
"ENSG00000133193",3.64660738166981,0.377533550263803,0.42217613553048,0.679778857808807,0.906817602967938
"ENSG00000141219",4.42714570223875,0.255699417393333,0.351240442225461,0.731021998350808,0.921851626324572
"ENSG00000179604",6.53577405224681,0.0320553136016608,0.053579023980042,0.958083291504943,0.987677534499104
"ENSG00000172809",8.35179648776803,-0.623145509314096,-0.864437059220517,0.402980717132869,0.782271684778278
"ENSG00000141540",3.21810627023909,-1.15037959307412,-1.09114339923203,0.29497503801941,0.716456129440371
"ENSG00000170412",4.77138460975293,-1.54641279190538,-1.76358317179872,0.10121940684111,0.496457938700864
"ENSG00000167851",4.33284088870332,-1.30925122654072,-1.4211630545494,0.178757019461687,0.608060818910673
"ENSG00000186407",2.40978608586929,-0.792772606164128,-0.682179873374305,0.507070849079361,0.838341095385675
"ENSG00000109062",6.72370849050544,-3.32074475377242,-5.00949268671136,0.000237218152744507,0.0290343804765652
"ENSG00000109065",5.19148012620289,-0.426924104088879,-0.653577168490083,0.524750224404174,0.847238022916192
"ENSG00000109066",4.36287498664828,-0.398605705559435,-0.531223263630922,0.604201591207953,0.878141354203676
"ENSG00000161513",3.76249081662713,-1.60072301896862,-1.80917944819476,0.0935418116358694,0.479090425674575
"ENSG00000167861",4.1743728634028,1.16294429628083,1.42408624519938,0.177926005190986,0.606703977312855
"ENSG00000109089",3.62057733536882,1.49216488684172,1.24429633606675,0.235307425034609,0.66599159975372
"ENSG00000167862",4.25662724332122,0.073854264265921,0.0913525587715554,0.92860186445912,0.984179426031529
"ENSG00000180901",6.03193774742116,-1.21874582512285,-1.86926881960016,0.0842225883385284,0.455874357525603
"ENSG00000167863",7.31963200982908,-0.219132803414491,-0.339662898962973,0.739522702678967,0.926043044513531
"ENSG00000170190",3.14727591524439,-2.33372971127549,-2.48169850270523,0.0274840367755732,0.275219349701765
"ENSG00000125449",3.4528740205785,-2.18705556283122,-2.33708167377844,0.0360418775880298,0.315985661714971
"ENSG00000125458",5.63319908937852,-2.57519389332268,-3.09508325020214,0.00850636790900514,0.150632594331986
"ENSG00000189159",5.14668056291389,-2.62532943300461,-3.22626561816301,0.00660620868175327,0.135060683280249
"ENSG00000188612",7.13812517060004,-0.334805806513847,-0.555457173269519,0.58799181171669,0.870782110793726
"ENSG00000125450",5.50031839644847,-0.740035921927523,-1.17280823891085,0.261866915088211,0.691345121658766
"ENSG00000125447",4.89909458119383,0.543233294717671,0.752957682673876,0.464861999070885,0.818932900409847
"ENSG00000125445",6.03758661647421,-0.0464739182498084,-0.0744225588821772,0.941804527105874,0.985468770372449
"ENSG00000125457",4.05109767463888,-0.352807732671672,-0.38778473486738,0.704435832020563,0.912911451427499
"ENSG00000125454",2.58517615037804,0.11773764790771,0.0808786407168551,0.936767494036472,0.985014558198481
"ENSG00000177885",6.96365996396415,-0.0427011570587501,-0.0697853797408393,0.945424073658714,0.985468770372449
"ENSG00000177728",5.64797277625913,0.991464229989655,1.58971840493885,0.135857076998689,0.556333172825943
"ENSG00000177303",4.80578470066282,1.51545515952918,2.11982832524365,0.0537889210886066,0.373593939694311
"ENSG00000182173",3.79128325923218,-1.6726117052616,-1.91873447925909,0.0771898541691619,0.440037744598603
"ENSG00000073350",4.274912987924,-3.37255807811006,-3.85136273973736,0.00199416232494826,0.0764755134555312
