gene_id,normal1,normal2,tumour1,tumour2
ENSG00000213332,0,0,0,0
ENSG00000100399,1,7,0,4
ENSG00000209482,0,0,0,0
ENSG00000209480,0,0,0,0
ENSG00000253149,0,0,0,0
ENSG00000100393,31,9,8,29
ENSG00000213331,0,0,0,0
ENSG00000100395,18,21,27,31
ENSG00000200552,0,0,0,0
ENSG00000259164,0,0,0,0
ENSG00000223208,0,0,0,0
ENSG00000223203,0,0,0,0
ENSG00000223202,0,0,0,0
ENSG00000232353,0,0,0,0
ENSG00000200553,0,0,0,0
ENSG00000222356,0,0,0,0
ENSG00000213338,0,0,0,0
ENSG00000196550,0,1,3,4
ENSG00000196553,0,0,0,0
ENSG00000196557,7,3,11,0
ENSG00000264387,0,0,0,0
ENSG00000282206,0,0,0,0
ENSG00000264386,0,0,0,0
ENSG00000197208,0,0,5,0
ENSG00000239468,0,0,0,0
ENSG00000239462,0,0,0,0
ENSG00000151292,15,13,15,21
ENSG00000113141,84,83,38,81
ENSG00000239464,0,0,0,0
ENSG00000280164,0,1,0,0
ENSG00000217686,0,0,0,0
ENSG00000217684,0,0,0,0
ENSG00000217680,0,0,0,0
ENSG00000222359,0,0,0,0
ENSG00000211947,5,1,6,3
ENSG00000026652,11,15,0,19
ENSG00000205955,0,0,0,0
ENSG00000177971,19,71,94,47
ENSG00000211945,1,3,6,2
ENSG00000205959,3,3,0,0
ENSG00000185158,9,6,0,6
ENSG00000211681,0,0,0,0
ENSG00000211682,0,0,0,0
ENSG00000211683,0,0,0,0
ENSG00000211684,0,0,0,0
ENSG00000211685,0,0,6,0
ENSG00000211687,0,0,0,0
ENSG00000211688,0,0,0,0
ENSG00000211689,0,0,0,0
ENSG00000185155,0,0,0,0
ENSG00000185156,0,0,3,0
ENSG00000255042,0,0,0,0
ENSG00000229565,0,0,0,0
ENSG00000229562,0,0,0,0
ENSG00000229563,0,0,0,0
ENSG00000229560,0,0,0,0
ENSG00000225192,0,0,0,0
ENSG00000255040,0,0,0,0
ENSG00000229568,0,0,0,0
ENSG00000229569,0,0,0,0
ENSG00000213260,0,0,0,0
ENSG00000106635,29,53,40,52
ENSG00000106636,41,55,70,71
ENSG00000261103,0,0,0,0
ENSG00000280299,0,0,0,0
ENSG00000106631,0,0,0,0
ENSG00000106633,0,0,0,0
ENSG00000280295,0,0,0,0
ENSG00000213269,2,0,0,0
ENSG00000280296,0,0,0,0
ENSG00000106638,28,27,8,12
ENSG00000225196,0,0,0,0
ENSG00000211538,0,0,0,0
ENSG00000211532,0,0,0,0
ENSG00000255045,0,0,0,0
ENSG00000123584,0,0,0,0
ENSG00000260668,0,0,0,0
ENSG00000206812,0,0,0,0
ENSG00000152670,0,0,0,0
ENSG00000152672,0,2,0,0
ENSG00000207569,0,0,0,0
ENSG00000238731,0,0,0,0
ENSG00000238730,0,0,0,0
ENSG00000238735,0,0,0,0
ENSG00000143643,11,7,13,22
ENSG00000124588,48,23,43,13
ENSG00000143641,64,62,55,57
ENSG00000124587,19,25,43,11
ENSG00000167332,0,0,0,0
ENSG00000167333,17,11,9,5
ENSG00000009830,9,17,24,24
ENSG00000281655,0,0,0,0
ENSG00000281652,0,0,0,0
ENSG00000220161,0,0,0,0
ENSG00000258056,9,9,13,14
ENSG00000244183,0,0,0,0
ENSG00000178927,51,65,144,79
ENSG00000178921,16,7,4,9
ENSG00000178922,66,61,209,21
ENSG00000178928,0,0,0,0
ENSG00000266341,2,2,0,0
ENSG00000266340,0,0,0,0
ENSG00000252861,0,0,0,0
ENSG00000252860,0,0,0,0
ENSG00000252863,0,0,0,0
ENSG00000168310,29,21,37,19
ENSG00000258057,0,0,0,0
ENSG00000252867,0,0,0,0
ENSG00000168314,0,0,0,0
ENSG00000262456,0,0,0,0
ENSG00000212135,2,0,0,0
ENSG00000262454,9,22,5,0
ENSG00000212133,0,0,0,0
ENSG00000229492,0,0,0,0
ENSG00000241073,0,0,0,0
ENSG00000268416,0,0,0,0
ENSG00000114268,3,0,21,26
ENSG00000241074,0,0,0,0
ENSG00000268412,0,1,0,2
ENSG00000200673,0,0,0,0
